video_id,url,description,hashtags
7622124961133579528,https://www.tiktok.com/@jiniso.id/video/7622124961133579528,Casual look yang diam-diam curi perhatian 👀✨ ft.   PSYCHO 553 - TB/BB 165/50 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621815230623960327,https://www.tiktok.com/@jiniso.id/video/7621815230623960327,"Outfit kikay favorit minggu ini 💌 PLAYDATE 653 di mix dengan top pink. Vibesnya soft girl, manis, tapi tetep stylish buat nongki atau jalan santai 🌷 ft. PLAYDATE 653 - TB/BB 158/44 #JINISO #jinisoemangkeren #autokeren #highwaistloose","#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621813945698946322,https://www.tiktok.com/@jiniso.id/video/7621813945698946322,HANGOUT 617 outfit ngampus sampai hangout bisa banget dengan bahan stretch jadi nyaman dipake seharian🔥 ft. HANGOUT 617 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621813606962793735,https://www.tiktok.com/@jiniso.id/video/7621813606962793735,Ssst! Mending upgrade outfit sekarang juga🔥 kamu cuma butuh rok SEVENTY 994 dengan slit samping yang nyaman buat bergerak😍 ft. SEVENTY 994 - TB/BB 159/62 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621812902126832914,https://www.tiktok.com/@jiniso.id/video/7621812902126832914,Tips buat kamu yang punya pinggul besar🤔 SEVENTY 993 dengan model lebar kebawah jadi bisa nutupin paha dan pinggu besar kamu😍 ft. SEVENTY 993 - TB/BB 151/46 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621812282577652999,https://www.tiktok.com/@jiniso.id/video/7621812282577652999,What I’m wearing today 🤎 Cutbray jeans HANGOUT 712 di mix dengan vest = combo auto jenjang + classy. ft. HANGOUT 712 - TB/BB 170/45 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621811818650029330,https://www.tiktok.com/@jiniso.id/video/7621811818650029330,Today's look outfit ngantor pake UNDER AGE 444 di mix dengan kemeja + vest😍 ft. UNDER AGE 444 - TB/BB 170/54 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621796981769309448,https://www.tiktok.com/@jiniso.id/video/7621796981769309448,"Kalau outfit liburan kamu masih itu-itu aja… fix perlu denim 😌 Ini 3 styling yang auto bikin look naik level🔥 ft. FAME 163, PLAYDATE 657, HANGOUT 715,  Jaket Crop Oversize Blue Acid, Jaket Oversize Casual Bio Wash - TB/BB 157/48 #JINISO #jinisoemangkeren #autokeren #highwaistloose","#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621464564340641044,https://www.tiktok.com/@jiniso.id/video/7621464564340641044,Udah gak mungkin hilang kapur papan tulis kalau kamu simpan di kantong kecil🔥 ft. WEEKEND 753 - TB/BB 157/47 #JINISO #jinisoemangkeren #autokeren #highwaistloose,"#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
7621464229308206356,https://www.tiktok.com/@jiniso.id/video/7621464229308206356,"Ini dia perbedaan OVERTIME 665 vs WEEKEND 773! Tinggal kamu pilih sesuaiin sama selera kamu😍 ft. OVERTIME 665, WEEKEND 773 - TB/BB 167/49 #JINISO #jinisoemangkeren #autokeren #highwaistloose","#jiniso, #jinisoemangkeren, #autokeren, #highwaistloose"
